day,start_s,end_s,on_screen_text
1,0.0,2.0,I made $100 online. No face.
1,2.0,5.0,Not crypto. Not a course.
1,5.0,8.0,3 boring steps
1,8.0,15.0,1. One tiny paid problem
1,15.0,22.0,2. Same offer. 14 days. $20/job
1,22.0,28.0,3. Ask: who else needs this?
1,28.0,33.0,Small offer + daily posts = first $100
2,0.0,2.0,This DM made me $20
2,2.0,10.0,I help with 1 thing. $20. 24 hours. Say YES.
2,10.0,18.0,Sent to 20 people
2,18.0,25.0,3 said yes = $60
2,25.0,32.0,Follow: the 5 offers that sell
3,0.0,2.5,$20 offers that actually sell
3,2.5,7.0,1. Resume headline
3,7.0,11.5,2. 10 captions
3,11.5,16.0,3. Instagram bio
3,16.0,21.0,4. 30s script
3,21.0,26.0,5. 5 Canva posts
3,26.0,32.0,Pick ONE. 5 jobs = first $100
4,0.0,2.5,You didn’t fail. You quit on day 6.
4,2.5,7.0,Day 1–5: silence. Normal.
4,7.0,13.0,Day 6: most people quit
4,13.0,19.0,Day 8–14: first YES
4,19.0,25.0,Ignored 11 days. Paid on day 12.
4,25.0,32.0,Same offer. 14 days. Don’t switch.
5,0.0,2.5,14 days. Real numbers.
5,2.5,8.0,Views: 200 → 4,000
5,8.0,12.0,DMs: 20
5,12.0,16.0,Replies: 7
5,16.0,21.0,Paid: 5
5,21.0,26.0,Total: $100
5,26.0,32.0,Small shop > viral with $0
6,0.0,3.0,Stop collecting courses. Collect $20s.
6,3.0,9.0,A $97 course is not income
6,9.0,16.0,First $100 = cash from a stranger
6,16.0,22.0,1 paid job > 10 hours of YouTube
6,22.0,27.0,Phone. CapCut. Canva free.
6,27.0,33.0,Sell $20 this week. Ugly is fine.
7,0.0,2.5,Do this for 14 days.
7,2.5,7.0,☐ 1 offer ($20)
7,7.0,11.5,☐ 1 DM (from Day 2)
7,11.5,16.0,☐ 1 post / day
7,16.0,21.0,☐ 10 messages / day
7,21.0,26.0,☐ Don’t switch niches
7,26.0,31.0,Day 15: count the money
7,31.0,35.0,Comment DAY 1 if you’re in
